,brand,model,model_year,milage,fuel_type,engine,transmission,accident,price
1012,Lexus,ES 350 Base,2016,51335,0,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,1,25995
1015,RAM,1500 Big Horn,2022,19376,0,5.7L V8 16V MPFI OHV,Automatic,0,45861
1017,Mitsubishi,Lancer Evolution IX,2006,77000,0,286.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,0,57000
1018,Acura,TL Technology,2013,40000,0,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,24000
1019,Cadillac,CTS Luxury,2012,113000,0,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,10000
1020,Chevrolet,Camaro 1SS,2022,7600,0,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,1,46000
1021,Toyota,Camry Hybrid LE,2022,20400,2,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,0,29900
1022,Ford,Transit-350 XLT,2019,115000,0,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,0,39000
1023,Lexus,RX 450h Base,2012,239000,2,295.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,A/T,0,7000
1024,Jaguar,F-TYPE V6 S,2014,62194,0,3.0 Liter SC ULEV,Automatic,0,32998
1025,Jeep,Wrangler Sahara,2020,22138,0,3.6 Liter,Automatic,0,38598
1026,Porsche,718 Boxster S,2017,48900,0,350.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,62500
1028,Lincoln,MKZ Base,2016,68200,0,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,1,16750
1029,Chevrolet,S-10 LS Crew Cab,2001,139000,0,190.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,0,7000
1031,Lexus,RX 350 RX 350 F SPORT Handling,2022,14330,0,3.5 Liter DOHC,Automatic,0,54998
1032,BMW,750 i xDrive,2019,41906,0,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,1,45999
1033,Chevrolet,Camaro 2SS,2016,164000,0,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,21500
1034,Ford,Fusion Hybrid SE,2013,161933,2,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,0,7945
1035,Hyundai,Santa Cruz 2.5T Limited,2022,22829,0,2.5L I4 16V PDI DOHC Turbo,Automatic,0,34580
1036,Lexus,RX 350 F Sport,2023,5483,0,2.4L I4 16V PDI DOHC Turbo,8-Speed Automatic,0,59950
1037,Land,Rover Range Rover Evoque S,2020,46891,0,246.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,1,31000
1038,Chevrolet,Suburban LT,2019,72000,0,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,1,39000
1040,Chevrolet,Camaro 1LT,2021,18000,0,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,1,30000
1041,Jeep,Gladiator Freedom,2021,30630,0,3.6 Liter,Automatic,0,39998
1042,Toyota,Tacoma Double Cab,2007,24985,0,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,0,33580
1043,GMC,Yukon Denali Ultimate,2023,9978,0,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,0,93999
1044,Ford,Shelby GT350R Base,2018,18500,0,526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,M/T,1,77999
1045,Cadillac,Escalade Premium Luxury Platinum,2021,72843,0,6.2L V8 16V GDI OHV,10-Speed Automatic,0,79990
1046,Buick,LaCrosse Base,2017,67500,0,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,20000
1048,Mercedes-Benz,E-Class E 300 4MATIC,2017,36900,0,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,0,28500
1049,Chevrolet,Tahoe LT,2017,61720,3,5.3 Liter,Automatic,1,39998
1050,Kia,Telluride EX,2022,35938,0,3.8L V6 24V GDI DOHC,8-Speed Automatic,0,43329
1051,Toyota,Tundra Hybrid Limited,2023,10748,2,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Automatic,0,63100
1053,Nissan,Armada Platinum,2018,108206,0,5.6 Liter,Automatic,1,26498
1054,Land,Rover Discovery HSE,2020,32705,1,3.0 Liter,Automatic,0,46598
1055,Kia,Telluride S,2020,74026,0,3.8L V6 24V GDI DOHC,8-Speed Automatic,0,32913
1056,Lexus,GS 350 F Sport,2020,24651,0,3.5L V6 24V PDI DOHC,6-Speed Automatic,0,45950
1057,BMW,X6 xDrive40i,2022,13000,2,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,0,69000
1059,Chevrolet,Silverado 3500 High Country,2015,77500,1,397.0HP 6.6L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,0,54000
1060,Maserati,Quattroporte Sport GT,2007,82000,0,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,1,7999
1062,Ford,Expedition Limited,2021,29830,0,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,0,55329
1064,Kia,Optima LX,2019,62660,0,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,0,16500
1065,Land,Rover Range Rover Sport SVR,2018,56006,0,575.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,59000
1066,Lexus,RX 450h F SPORT Handling,2021,31365,2,3.5 Liter DOHC,Variable,0,52998
1067,Lincoln,Town Car Base,2004,27600,0,239.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,0,14900
1068,Honda,Civic Si,2012,47245,0,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,19600
1069,Lexus,RX 450h Base,2017,73948,2,308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,A/T,0,31990
1070,RAM,1500 Classic Warlock,2019,36757,3,3.6L V6 24V MPFI DOHC Flexible Fuel,8-Speed Automatic,0,31953
1072,Audi,RS 3 2.5T,2023,1900,0,401.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,78900
1073,Hyundai,Genesis Coupe 3.8 R-Spec,2014,52060,0,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,1,15000
1074,Porsche,Boxster RS 60 Spyder,2008,58000,0,303.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,41500
1075,Ford,F-250 XLT,2010,52246,1,6.4L V8 32V DDI OHV Twin Turbo Diesel,6-Speed Manual,0,26095
1076,Kia,Sorento EX,2016,64290,0,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,0,16999
1077,Nissan,370Z Touring,2009,37500,0,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,21500
1078,Genesis,G70 2.0T,2023,2121,0,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,40750
1079,Land,Rover Range Rover Sport Supercharged,2013,57000,0,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,26000
1080,Mercedes-Benz,S-Class S 560 4MATIC,2020,22000,0,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,0,69500
1081,Ford,Bronco Wildtrak Advanced,2023,2000,0,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,0,66500
1082,RAM,1500 SLT,2018,61802,3,305.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,8-Speed A/T,0,32000
1085,Jeep,Grand Cherokee Laredo,2013,106700,3,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,0,13500
1086,Audi,RS 5 4.2,2013,75965,0,450.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,1,35999
1087,Jeep,Grand Cherokee L Overland,2022,31804,0,3.6L V6 24V MPFI DOHC,Automatic,1,48995
1089,Chrysler,Crossfire Limited,2005,116320,0,215.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,1,6000
1090,Audi,S5 4.2 Premium Plus,2011,156875,0,354.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,1,9900
1092,Cadillac,CT4 Luxury,2020,35200,0,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,28500
1093,Maserati,Ghibli S Q4,2014,76000,0,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,0,19000
1094,Jaguar,F-PACE 25t Premium,2019,29000,0,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,0,34500
1095,BMW,750 i xDrive,2019,33499,0,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,1,44495
1096,Acura,TLX V6 Advance,2019,25779,0,3.5L V6 24V GDI SOHC,9-Speed Automatic,1,30999
1097,GMC,Terrain SLT-1,2015,76296,0,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,1,9500
1099,Nissan,Versa 1.8 S,2011,109902,0,122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,0,4500
1100,Mercedes-Benz,C-Class C 300 4MATIC,2019,23083,0,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,0,33500
1101,Toyota,Matrix XRS,2003,143600,0,180.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,4199
1102,RAM,1500 Limited,2021,22000,0,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,54800
1103,Mercedes-Benz,AMG E 53 Base 4MATIC,2022,13000,2,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,0,81500
1104,Audi,A5 2.0T Premium,2018,53000,0,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,1,28000
1105,Lincoln,Navigator Reserve,2019,44741,0,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,0,52999
1106,Audi,A6 3.2 quattro,2008,202000,0,255.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,A/T,1,5700
1107,Chevrolet,Silverado 1500 LT Crew Cab,2006,215000,0,345.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,1,6995
1108,Mercedes-Benz,S-Class S 560,2019,77138,0,4.0 Liter,Automatic,0,49998
1109,Volvo,XC90 T6 Momentum,2018,90641,0,2.0L I4 16V GDI DOHC,8-Speed Automatic,0,25999
1110,Toyota,Camry SE,2011,177702,0,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,1,7700
1111,Mercedes-Benz,Metris Base,2018,58350,0,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,29497
1112,Chevrolet,Camaro 2LT,2010,86170,0,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,1,17000
1113,Mazda,MX-5 Miata Grand Touring,2012,36568,0,167.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,1,20199
1114,Ford,Escape SE,2015,54357,0,173.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,16250
1115,Mercedes-Benz,S-Class S 63 AMG,2015,20394,0,5.5 Liter,Automatic,1,59598
1116,Kia,Niro EX,2023,7578,2,1.6L I4 16V GDI DOHC Hybrid,Automatic,0,31113
1117,Porsche,Boxster Base,2010,64800,0,255.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,1,20900
1118,Toyota,4Runner Trail,2016,117780,0,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,0,27750
1120,Land,Rover Range Rover Evoque SE,2016,86202,0,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,0,18750
1121,Ford,E350 Super Duty XLT,2012,163000,3,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,0,19550
1122,Mercedes-Benz,SL-Class SL500 Roadster,2004,35400,0,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,24900
1123,Jeep,Compass Trailhawk,2018,31000,0,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,0,22000
1124,Mercedes-Benz,S-Class S 560 4MATIC,2018,103069,0,4.0 Liter,Automatic,0,40998
1127,Lexus,IS-F Base,2010,41500,0,416.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,1,44800
1128,BMW,335 i,2010,91545,0,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,13000
1130,Buick,Lucerne CXL,2006,110000,0,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,0,5000
1131,Lincoln,MKX Reserve,2016,88000,0,335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,18500
1132,Nissan,Armada Platinum,2018,42833,0,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,37000
1135,BMW,435 Gran Coupe i,2015,60100,0,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,24995
1136,Jeep,Wagoneer Series III,2022,17381,0,5.7L V8 16V MPFI OHV,8-Speed Automatic,0,69685
1137,Cadillac,ATS 2.5L,2013,63172,0,202.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,1,12995
1138,Ford,Transit Connect XLT,2010,72000,0,136.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,1,10900
1140,Audi,S5 3.0T Premium Plus,2014,67900,0,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,25990
1141,Toyota,Tundra SR,2018,51000,0,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,0,38000
1142,Jeep,Wrangler Unlimited Freedom Edition,2013,54500,0,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,0,35000
1143,Maserati,Quattroporte Base,2006,61840,0,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,16500
1144,Mercedes-Benz,CLS-Class CLS500,2006,28950,0,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,16750
1145,GMC,Sierra 3500 SLE,2002,300000,1,300.0HP 6.6L 8 Cylinder Engine Diesel Fuel,5-Speed A/T,1,5000
1146,Nissan,Frontier SL,2011,103400,0,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,1,17000
1149,Land,Rover Defender X-Dynamic SE,2023,3678,2,3.0 Liter,Automatic,0,81998
1150,Ford,F-150 XL,2016,107000,3,385.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,1,22000
1152,Porsche,911 Carrera S,2010,13850,0,385.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,71400
1153,Volvo,XC70 3.2,2008,46700,0,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,11400
1154,Chrysler,300 Touring,2021,21478,0,3.6 Liter,Automatic,0,27798
1155,Honda,Insight EX,2020,64200,2,151.0HP 1.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,1,20499
1156,Porsche,Cayman S,2006,31075,0,3.4L H6 24V MPFI DOHC,5-Speed Automatic,0,36250
1158,BMW,M5 Competition,2020,35400,0,617.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,71950
1159,Audi,S4 4.2 quattro,2004,74030,0,340.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,16000
1160,Ford,F-250 Platinum,2021,48549,1,6.7L V8 32V DDI OHV Turbo Diesel,Automatic,0,69998
1161,Kia,Seltos S,2023,5182,0,146.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,0,32500
1162,RAM,ProMaster 2500 High Roof,2019,31681,0,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,1,33500
1163,BMW,M760 M760i xDrive,2020,23430,0,6.6 Liter Twin Turbo,Automatic,0,80998
1164,Mercedes-Benz,E-Class E 400,2015,30300,0,329.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,1,29000
1165,Cadillac,XTS Luxury,2016,112000,0,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,1,14599
1166,INFINITI,Q50 Premium,2014,127356,0,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,1,19990
1167,Volkswagen,Touareg V6 Executive,2017,50600,0,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,1,28890
1168,Chevrolet,Suburban 1500 LTZ,2011,194000,3,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,0,9950
1169,Toyota,Tundra SR5,2021,33455,0,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,44750
1170,BMW,X1 sDrive28i,2022,43000,0,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,35750
1171,Mercedes-Benz,GL-Class GL 550 4MATIC,2016,46102,0,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,35300
1172,Cadillac,XTS Luxury,2019,59000,0,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,21000
1173,Jaguar,XJ8 Base,2004,134000,0,294.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,1,9500
1175,Mercedes-Benz,Sprinter 2500,2012,100245,1,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,A/T,1,24000
1176,Mercedes-Benz,C-Class C 300 4MATIC,2022,8583,0,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,0,42999
1177,Dodge,Dakota SLT,2003,141800,0,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,1,5700
1178,Audi,A5 2.0T Premium Plus,2012,77000,0,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,13800
1179,Audi,A5 2.0T Premium,2018,67035,0,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,1,31500
1180,Audi,S5 3.0 Premium Plus,2012,61450,0,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,19500
1181,Porsche,Panamera GTS,2015,39500,0,440.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,52590
1183,Chevrolet,Camaro 2SS,2023,2300,0,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,51500
1184,Audi,Q7 Premium Plus,2023,10601,2,3.0 Liter TFSI,Automatic,0,61998
1185,Maserati,GranTurismo MC,2018,18000,0,454.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,67000
1186,GMC,Sierra 2500 AT4,2022,31681,0,6.6L V8 16V GDI OHV,Automatic,1,67963
1187,Cadillac,XT6 Sport AWD,2020,24114,0,3.6L V6 24V GDI DOHC,9-Speed Automatic,1,49427
1188,Jeep,Grand Cherokee L Laredo,2022,22109,0,3.6L V6 24V MPFI DOHC,Automatic,0,43389
1189,Chevrolet,Avalanche 1500 LT,2012,148000,3,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,0,18000
1190,BMW,M5 Base,2018,41000,0,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,60200
1191,Nissan,Titan SE,2009,127600,3,317.0HP 5.6L 8 Cylinder Engine Flex Fuel Capability,A/T,0,19500
1192,Dodge,Ram 1500 SRT-10 Quad Cab,2005,138450,0,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,4-Speed A/T,1,19000
1193,GMC,Sierra 1500 SLT,2013,230000,3,315.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,0,15500
1194,Lexus,RX 350 F Sport,2017,53649,0,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,0,33000
1195,Mercedes-Benz,GL-Class GL 450 4MATIC,2012,174000,0,335.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,1,11999
1196,INFINITI,QX80 Luxe,2022,49860,0,5.6L V8 32V GDI DOHC,Automatic,1,47645
1197,Mercedes-Benz,AMG C 63 S,2021,13650,0,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,0,75000
1198,BMW,528 i xDrive,2016,134000,0,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,1,13500
1199,Porsche,911 Carrera,2014,78000,0,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,68000
1200,Porsche,Boxster S,2005,65750,0,280.0HP 3.2L Flat 6 Cylinder Engine Gasoline Fuel,A/T,0,21750
1201,BMW,X6 M Base,2021,18000,0,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,94000
1202,Ford,Mustang Premium,2007,121630,0,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,0,9450
1204,Volvo,XC90 Recharge Plug-In Hybrid T8 Inscription 7 Passenger,2022,9408,2,2.0L I4 16V GDI DOHC Hybrid,8-Speed Automatic,0,61999
1205,BMW,528 i xDrive,2016,120000,0,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,0,16000
1206,Cadillac,Escalade ESV Platinum,2016,168600,0,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,29500
1207,Chevrolet,Corvette Base,2004,43705,0,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,25900
1208,Audi,A5 2.0T Premium,2013,111000,0,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,11500
1209,Audi,TT 2.0T Premium,2012,64549,0,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,17000
1210,Buick,LaCrosse CX,2007,53000,0,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,0,6500
1211,Chevrolet,Camaro 2SS,2017,13465,0,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,44900
1213,BMW,M3 Base,2015,74000,0,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,M/T,0,40000
1214,Kia,Optima LX,2011,100331,0,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,1,6900
1215,Toyota,Supra 3.0 Premium,2022,24850,0,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,0,53568
1216,Lincoln,Nautilus Reserve,2021,17467,0,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,0,43860
1217,Nissan,Pathfinder SL,2015,115000,0,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,0,11995
1218,BMW,X5 xDrive50i,2015,72000,0,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,1,26500
1219,Mazda,MazdaSpeed3 Grand Touring,2008,162000,0,263.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,1,6500
1220,GMC,Yukon XL SLT,2017,47589,0,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,0,45500
1222,RAM,ProMaster 2500 High Roof,2018,10339,0,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,36990
1223,RAM,1500 Classic SLT,2021,32092,0,3.6L V6 24V MPFI DOHC,8-Speed Automatic,0,35113
1224,Lexus,GS 350 Base,2014,85275,0,3.5 Liter,Automatic,1,23998
1225,Hyundai,Tucson Limited,2016,138000,0,175.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,10990
1226,Chevrolet,SSR Base,2003,87500,0,300.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,0,16999
1227,Maserati,GranTurismo Base,2013,34920,0,440.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,38900
1229,BMW,M2 Base,2018,25000,0,365.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,52000
1231,Subaru,Outback 2.5i Limited,2015,162000,0,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,0,13999
1232,Buick,Roadmaster Estate,1996,119500,0,260.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,1,16999
1233,Land,Rover Range Rover 5.0L Supercharged,2017,101800,0,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,0,36500
1234,Ford,Expedition Max XLT,2021,84351,0,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,0,42691
1236,Toyota,Tacoma TRD Pro,2019,40698,0,3.5L V6 24V PDI DOHC,6-Speed,0,42886
1238,BMW,230 i,2019,30000,0,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,1,29000
1239,Lexus,ES 350 Base,2007,78980,0,272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,1,10600
1240,Porsche,911 Carrera S Cabriolet,2007,28844,0,3.8L H6 24V MPFI DOHC,6-Speed Manual,0,69995
1242,Maserati,Levante Modena,2023,5409,0,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,0,88950
1243,Dodge,Challenger SRT Hellcat,2020,12700,0,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,1,69900
1244,Mazda,Mazda6 Touring,2021,19000,0,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,0,25900
1245,Audi,S4 3.0T Premium,2019,12000,0,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,0,48000
1246,Ford,Mustang GT Premium,2016,25717,0,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,33900
1248,Audi,TTS 2.0T Premium Plus,2011,69700,0,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,1,23000
1249,BMW,M2 Competition,2020,25013,0,405.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,55000
1251,BMW,740 i,2016,57939,0,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,27500
1252,Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,2018,52694,0,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,49999
1253,Mercedes-Benz,S-Class S 550 4MATIC,2015,54000,0,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,37000
1254,Honda,S2000 Base,2002,110500,0,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,27000
1255,Chevrolet,Corvette Base,2000,97500,0,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,10000
1256,Chevrolet,Colorado Z71,2020,20909,0,3.6L V6 24V GDI DOHC,Automatic,0,35387
1257,Mercedes-Benz,S-Class S 63 AMG,2013,77648,0,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,40000
